,the,to,of,in,and,said,a,s,for,oil,mln,u,on,that,from,at,it,is,by,tonnes
reuters-topics/grain/article579.txt,39,12,8,13,7,4,11,0,3,0,0,0,5,2,3,0,3,8,3,0
reuters-topics/grain/article545.txt,13,9,9,1,4,2,4,1,2,0,1,1,2,2,1,1,2,0,0,2
reuters-topics/grain/article223.txt,8,6,2,4,0,4,1,4,1,0,3,3,0,1,3,0,1,0,1,3
reuters-topics/grain/article237.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article551.txt,8,4,3,8,0,1,5,2,1,0,0,0,1,3,0,0,3,2,4,0
reuters-topics/grain/article009.txt,7,5,4,1,1,3,2,1,3,0,0,1,0,0,1,0,0,1,0,2
reuters-topics/grain/article021.txt,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article035.txt,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article196.txt,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article182.txt,6,2,5,6,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
reuters-topics/grain/article169.txt,6,6,5,2,5,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0
reuters-topics/grain/article155.txt,5,4,3,0,0,3,2,9,2,0,0,6,0,0,1,1,0,0,0,1
reuters-topics/grain/article141.txt,11,6,7,6,1,5,7,7,2,0,13,1,1,6,2,4,0,3,0,9
reuters-topics/grain/article394.txt,8,3,2,2,1,3,0,2,3,0,4,2,2,3,1,0,0,2,1,3
reuters-topics/grain/article380.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article419.txt,11,9,7,4,3,8,7,10,2,0,0,9,1,4,1,0,5,0,2,0
reuters-topics/grain/article431.txt,7,3,3,1,3,0,1,2,4,0,3,2,0,0,0,0,0,2,0,2
reuters-topics/grain/article357.txt,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article343.txt,2,2,0,0,2,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0
reuters-topics/grain/article425.txt,14,8,6,4,5,7,4,2,2,0,0,1,2,5,1,4,0,3,1,0
reuters-topics/grain/article342.txt,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1
reuters-topics/grain/article424.txt,16,19,13,11,13,13,25,2,3,0,0,1,3,3,2,4,3,3,1,0
reuters-topics/grain/article430.txt,6,3,4,3,1,3,0,0,0,0,9,0,2,0,1,1,0,1,0,6
reuters-topics/grain/article356.txt,6,3,2,4,1,3,1,4,0,0,2,2,1,0,2,3,3,0,0,3
reuters-topics/grain/article418.txt,5,0,8,0,0,3,2,1,3,0,0,0,0,0,0,3,0,0,0,3
reuters-topics/grain/article381.txt,13,9,9,9,4,3,2,0,3,0,1,0,1,0,1,1,0,0,0,0
reuters-topics/grain/article395.txt,25,8,8,6,7,8,6,11,3,0,5,9,1,1,7,2,1,3,1,5
reuters-topics/grain/article140.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article154.txt,41,26,11,21,17,13,13,7,8,3,1,0,3,6,3,2,5,13,2,1
reuters-topics/grain/article168.txt,10,6,2,2,10,1,1,0,2,0,3,2,2,0,0,0,0,0,4,15
reuters-topics/grain/article183.txt,66,42,40,24,37,13,29,15,17,1,1,12,7,12,7,2,10,8,7,1
reuters-topics/grain/article197.txt,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article034.txt,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2
reuters-topics/grain/article020.txt,1,0,1,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,0,3
reuters-topics/grain/article008.txt,3,3,6,0,2,3,2,0,3,0,0,0,0,0,0,0,0,1,4,3
reuters-topics/grain/article236.txt,9,2,3,0,1,2,0,1,1,0,0,1,1,0,0,1,0,2,0,0
reuters-topics/grain/article550.txt,8,0,4,3,4,2,5,1,1,0,4,0,1,0,1,0,1,2,0,1
reuters-topics/grain/article544.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article222.txt,16,8,5,2,0,3,4,5,5,0,1,5,1,4,3,0,0,1,1,2
reuters-topics/grain/article578.txt,0,4,4,0,2,2,2,1,4,0,0,0,0,0,1,1,0,0,0,4
reuters-topics/grain/article208.txt,15,11,10,9,7,9,4,3,1,0,2,0,3,0,4,0,3,3,2,2
reuters-topics/grain/article552.txt,7,5,2,4,2,2,1,3,1,0,0,1,2,1,2,0,0,1,0,0
reuters-topics/grain/article234.txt,11,0,5,1,2,2,0,3,1,0,0,3,1,0,4,0,0,1,0,1
reuters-topics/grain/article220.txt,52,29,30,9,3,4,15,13,1,0,4,10,2,10,3,2,3,5,2,3
reuters-topics/grain/article546.txt,17,10,4,3,4,3,5,8,1,0,1,8,3,2,1,2,2,5,2,1
reuters-topics/grain/article036.txt,3,0,1,16,0,0,0,2,1,1,4,2,3,0,0,28,0,0,0,0
reuters-topics/grain/article022.txt,5,3,2,2,4,3,2,2,2,0,0,1,0,0,3,0,1,0,0,2
reuters-topics/grain/article181.txt,5,2,2,1,5,1,0,0,2,0,3,2,1,0,0,0,0,0,2,6
reuters-topics/grain/article195.txt,10,5,1,9,6,4,1,1,3,0,0,1,0,0,0,0,2,3,0,0
reuters-topics/grain/article142.txt,3,3,2,1,2,0,4,2,1,0,0,2,1,1,0,0,0,0,1,0
reuters-topics/grain/article156.txt,2,2,9,0,6,1,4,3,8,0,0,2,0,0,0,3,0,0,0,5
reuters-topics/grain/article383.txt,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2
reuters-topics/grain/article397.txt,5,0,8,0,1,2,2,3,2,0,0,3,0,0,0,0,0,0,1,3
reuters-topics/grain/article368.txt,11,9,4,2,5,5,6,8,4,0,0,7,3,6,0,0,0,2,0,0
reuters-topics/grain/article426.txt,5,1,2,1,7,2,4,2,3,0,0,2,2,1,0,0,0,0,0,0
reuters-topics/grain/article340.txt,3,1,5,0,3,2,2,1,4,0,0,0,0,0,0,3,1,0,0,3
reuters-topics/grain/article354.txt,2,7,1,2,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1
reuters-topics/grain/article432.txt,3,5,1,5,0,3,4,2,0,0,3,0,0,0,1,0,1,1,1,0
reuters-topics/grain/article355.txt,6,5,2,6,2,4,1,0,1,0,2,0,0,0,1,0,0,0,1,2
reuters-topics/grain/article433.txt,6,2,1,4,3,2,3,1,2,0,0,0,0,1,0,1,0,0,0,0
reuters-topics/grain/article427.txt,12,6,10,5,2,0,0,6,1,0,1,5,0,0,0,0,0,0,0,6
reuters-topics/grain/article341.txt,5,2,4,9,3,3,6,1,0,0,0,0,0,1,0,1,0,1,0,0
reuters-topics/grain/article369.txt,7,3,3,2,2,2,2,6,0,0,0,6,1,2,1,0,0,0,2,0
reuters-topics/grain/article396.txt,10,3,3,4,4,5,1,4,1,1,2,0,0,1,2,0,1,2,2,1
reuters-topics/grain/article382.txt,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article157.txt,11,2,2,1,5,4,2,1,3,0,3,0,1,0,0,0,1,5,0,3
reuters-topics/grain/article143.txt,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article194.txt,5,3,8,0,0,3,1,0,1,0,0,0,0,0,0,1,1,0,1,4
reuters-topics/grain/article180.txt,4,0,1,3,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
reuters-topics/grain/article023.txt,2,4,9,0,6,2,2,1,8,0,0,0,0,0,0,2,0,0,0,8
reuters-topics/grain/article037.txt,11,5,5,5,1,1,0,5,3,0,0,4,0,0,0,0,0,0,0,4
reuters-topics/grain/article221.txt,6,6,5,3,0,0,1,2,0,0,0,1,0,1,1,1,0,1,0,0
reuters-topics/grain/article547.txt,6,4,1,2,4,2,3,0,0,2,0,0,0,0,4,1,0,0,2,0
reuters-topics/grain/article553.txt,36,10,11,5,9,8,4,4,4,0,0,0,2,0,1,2,0,2,1,0
reuters-topics/grain/article235.txt,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article209.txt,8,2,3,1,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,3
reuters-topics/grain/article580.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article231.txt,3,2,1,0,2,2,0,2,0,0,1,2,0,0,0,1,2,0,1,1
reuters-topics/grain/article557.txt,13,7,9,6,3,5,4,2,1,0,0,0,1,2,0,1,0,1,0,0
reuters-topics/grain/article543.txt,9,10,8,2,2,2,7,3,3,0,0,3,2,4,1,2,1,1,1,0
reuters-topics/grain/article225.txt,10,2,10,6,7,5,0,2,1,3,2,2,0,2,3,1,4,0,1,4
reuters-topics/grain/article219.txt,11,6,5,8,4,4,1,4,0,0,1,0,1,0,1,2,1,0,1,0
reuters-topics/grain/article033.txt,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article027.txt,14,9,6,3,3,6,2,3,4,0,0,1,1,0,1,2,2,2,2,1
reuters-topics/grain/article184.txt,6,2,2,3,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,3
reuters-topics/grain/article190.txt,8,8,1,0,2,1,2,1,0,0,0,1,2,3,0,1,1,1,3,0
reuters-topics/grain/article147.txt,7,7,5,3,1,4,2,2,3,0,7,0,0,0,1,1,0,0,0,6
reuters-topics/grain/article153.txt,40,2,12,3,16,9,0,2,10,1,1,1,1,0,5,0,5,0,0,12
reuters-topics/grain/article386.txt,10,4,5,1,2,3,0,1,1,0,0,1,1,0,2,0,1,1,0,2
reuters-topics/grain/article392.txt,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article345.txt,23,21,16,22,8,2,9,6,2,5,9,1,5,2,6,1,2,6,5,10
reuters-topics/grain/article423.txt,4,2,5,1,1,2,5,4,2,0,0,4,0,0,4,0,0,2,0,2
reuters-topics/grain/article437.txt,18,14,7,5,7,11,9,10,8,0,9,8,3,9,1,0,0,1,2,8
reuters-topics/grain/article351.txt,30,6,9,4,12,5,1,6,14,1,1,2,2,0,1,0,2,0,5,11
reuters-topics/grain/article379.txt,1,6,0,1,5,0,7,1,0,0,12,0,0,0,3,1,0,1,0,0
reuters-topics/grain/article378.txt,5,0,3,4,3,4,0,0,1,0,0,1,0,0,0,2,0,0,1,2
reuters-topics/grain/article436.txt,16,8,11,3,1,6,3,3,3,0,3,3,0,1,2,0,0,0,0,7
reuters-topics/grain/article350.txt,7,1,8,2,0,3,5,2,0,0,3,0,2,0,0,1,0,2,0,5
reuters-topics/grain/article344.txt,6,1,3,2,3,2,0,0,1,0,0,0,0,0,2,0,2,0,0,6
reuters-topics/grain/article422.txt,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,2
reuters-topics/grain/article393.txt,39,16,9,8,13,13,14,2,8,0,0,1,3,6,0,11,3,3,2,0
reuters-topics/grain/article387.txt,7,2,4,5,7,3,4,5,1,0,5,2,0,0,5,2,1,0,1,5
reuters-topics/grain/article152.txt,9,4,7,3,1,0,0,6,1,0,1,5,0,0,0,0,0,0,0,4
reuters-topics/grain/article146.txt,3,8,0,2,3,2,7,0,0,0,0,0,1,0,0,0,1,0,0,0
reuters-topics/grain/article191.txt,2,3,4,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,1,4
reuters-topics/grain/article185.txt,9,6,3,7,6,6,3,3,1,0,2,1,0,1,0,1,1,0,0,0
reuters-topics/grain/article026.txt,2,0,4,0,2,2,1,1,1,0,0,0,0,0,0,3,1,0,0,2
reuters-topics/grain/article032.txt,7,0,3,1,3,3,1,0,4,0,0,0,0,1,0,1,0,0,1,1
reuters-topics/grain/article218.txt,9,5,2,0,5,1,2,0,0,0,0,0,1,0,1,2,1,0,0,0
reuters-topics/grain/article542.txt,20,9,8,7,1,5,7,8,2,0,0,0,0,4,4,0,2,3,4,1
reuters-topics/grain/article224.txt,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article230.txt,9,4,5,3,5,7,11,3,3,0,2,2,3,3,0,3,2,3,0,2
reuters-topics/grain/article556.txt,9,4,5,4,3,4,4,1,2,0,0,0,3,1,0,1,0,0,1,0
reuters-topics/grain/article581.txt,9,5,2,0,2,0,1,3,1,0,0,3,3,0,0,0,0,0,3,0
reuters-topics/grain/article226.txt,48,37,9,25,17,5,1,4,5,0,18,0,8,0,0,3,3,4,1,14
reuters-topics/grain/article540.txt,3,1,7,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,6
reuters-topics/grain/article554.txt,5,2,0,3,3,3,2,3,0,0,0,3,1,0,1,2,0,0,2,0
reuters-topics/grain/article232.txt,9,5,3,3,4,3,0,3,2,0,1,3,2,0,2,1,0,0,0,1
reuters-topics/grain/article568.txt,27,11,9,2,7,2,4,5,1,0,2,5,0,3,0,4,0,0,4,2
reuters-topics/grain/article024.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article030.txt,4,4,2,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0
reuters-topics/grain/article018.txt,12,11,7,1,5,1,9,3,7,0,0,3,2,0,11,3,0,0,0,0
reuters-topics/grain/article193.txt,8,4,0,7,1,0,2,2,2,0,7,2,0,0,2,1,0,0,1,0
reuters-topics/grain/article187.txt,18,11,5,2,3,3,4,5,6,0,0,0,2,0,2,2,0,0,1,0
reuters-topics/grain/article150.txt,26,15,10,9,14,4,5,8,6,0,1,0,4,5,1,0,2,0,2,0
reuters-topics/grain/article144.txt,5,4,0,2,1,1,2,1,1,0,0,0,0,1,1,0,0,0,2,0
reuters-topics/grain/article178.txt,1,1,0,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article391.txt,1,0,7,0,3,1,1,0,7,0,9,0,0,0,0,1,0,0,0,0
reuters-topics/grain/article385.txt,6,2,2,2,1,2,0,2,1,0,1,2,0,0,0,0,0,0,1,0
reuters-topics/grain/article352.txt,23,19,14,4,7,9,13,2,5,0,1,1,0,1,0,0,2,5,5,0
reuters-topics/grain/article434.txt,7,5,4,1,0,1,3,6,0,0,2,4,2,1,0,0,0,1,0,2
reuters-topics/grain/article420.txt,13,5,3,2,0,4,4,5,0,0,0,4,4,8,0,1,6,0,1,0
reuters-topics/grain/article346.txt,33,29,18,9,9,8,12,3,5,0,1,0,2,4,2,2,5,9,2,0
reuters-topics/grain/article408.txt,6,2,3,2,1,1,2,3,2,0,2,1,0,0,3,1,0,1,0,3
reuters-topics/grain/article409.txt,23,9,5,4,5,7,4,3,2,0,9,0,3,1,0,1,2,4,0,8
reuters-topics/grain/article421.txt,10,6,6,2,7,8,3,7,0,0,4,6,1,3,0,2,6,0,1,5
reuters-topics/grain/article347.txt,9,2,5,4,4,1,0,3,6,0,0,2,0,0,0,0,0,0,0,6
reuters-topics/grain/article353.txt,4,7,1,1,0,0,3,2,1,0,1,2,0,0,0,0,0,0,2,0
reuters-topics/grain/article435.txt,8,7,2,2,1,2,2,2,1,0,5,1,1,1,0,0,0,1,2,0
reuters-topics/grain/article384.txt,3,0,0,3,1,0,0,1,0,0,16,1,0,0,0,8,1,2,0,16
reuters-topics/grain/article390.txt,16,4,7,1,0,3,0,3,6,0,3,3,0,2,1,1,0,1,0,6
reuters-topics/grain/article179.txt,5,2,1,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article145.txt,24,8,5,10,3,6,8,2,4,0,3,0,4,3,1,1,2,4,3,2
reuters-topics/grain/article151.txt,5,4,1,1,1,1,3,1,0,0,1,0,1,1,1,0,1,1,3,0
reuters-topics/grain/article186.txt,7,2,6,2,4,2,1,0,1,0,5,4,0,0,0,0,0,0,1,6
reuters-topics/grain/article192.txt,10,2,2,8,6,5,1,1,3,0,0,1,1,1,1,1,0,0,1,0
reuters-topics/grain/article019.txt,18,5,13,13,7,5,1,1,4,0,12,0,0,0,1,2,3,1,3,10
reuters-topics/grain/article031.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article025.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article569.txt,33,24,11,11,6,24,14,13,3,0,4,11,4,6,3,7,3,6,0,0
reuters-topics/grain/article555.txt,17,7,12,1,6,3,2,1,0,0,6,0,3,2,0,1,1,2,3,8
reuters-topics/grain/article233.txt,12,4,4,1,3,5,0,3,4,0,0,3,0,0,2,0,0,1,0,3
reuters-topics/grain/article227.txt,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article541.txt,7,2,2,1,1,1,6,0,3,0,0,0,1,2,0,0,3,1,0,0
reuters-topics/grain/article283.txt,3,0,2,3,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0
reuters-topics/grain/article297.txt,4,1,6,1,4,3,0,2,9,0,0,2,0,0,0,0,0,0,1,7
reuters-topics/grain/article268.txt,18,10,9,7,10,10,7,6,2,0,2,6,1,0,2,1,0,4,0,0
reuters-topics/grain/article240.txt,14,3,5,1,3,1,2,3,3,0,1,3,1,1,0,1,0,0,2,2
reuters-topics/grain/article526.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,2
reuters-topics/grain/article532.txt,2,2,0,7,12,0,4,1,1,0,7,0,0,0,1,0,0,0,0,6
reuters-topics/grain/article254.txt,6,6,5,2,4,1,1,0,5,0,0,3,0,0,2,3,0,0,3,1
reuters-topics/grain/article081.txt,11,8,6,3,6,5,3,10,2,0,0,8,7,2,1,1,0,3,2,0
reuters-topics/grain/article095.txt,4,4,5,6,3,3,1,2,0,0,2,0,0,0,0,1,1,2,1,4
reuters-topics/grain/article042.txt,1,0,0,2,0,0,0,2,0,0,8,1,0,0,0,4,1,0,0,6
reuters-topics/grain/article056.txt,1,0,1,6,1,0,9,1,1,0,7,1,0,0,0,0,0,0,2,7
reuters-topics/grain/article136.txt,15,7,8,2,2,6,4,0,4,0,1,0,2,1,2,2,1,1,2,2
reuters-topics/grain/article122.txt,6,7,3,3,5,4,2,1,0,0,0,0,0,0,0,0,1,0,1,0
reuters-topics/grain/article491.txt,9,5,4,1,2,3,1,2,2,0,0,2,1,0,1,0,1,1,0,0
reuters-topics/grain/article485.txt,12,11,4,1,2,3,2,3,0,0,0,2,2,5,0,1,0,1,0,0
reuters-topics/grain/article308.txt,18,33,11,17,20,2,5,9,4,0,18,0,0,0,2,2,0,6,2,9
reuters-topics/grain/article334.txt,12,6,3,0,0,4,3,2,3,0,0,1,1,1,0,1,1,1,0,0
reuters-topics/grain/article452.txt,30,13,20,9,12,12,7,2,4,0,13,1,2,6,5,1,2,6,3,0
reuters-topics/grain/article446.txt,8,4,9,6,2,4,2,1,0,0,1,0,0,0,1,1,2,2,1,6
reuters-topics/grain/article320.txt,9,6,3,0,1,4,3,3,0,0,0,2,2,2,0,0,0,2,0,0
reuters-topics/grain/article447.txt,9,1,6,4,0,3,1,2,0,0,0,0,0,0,2,1,0,1,0,1
reuters-topics/grain/article321.txt,6,3,1,2,5,0,2,1,4,0,0,0,0,3,1,0,0,0,2,0
reuters-topics/grain/article335.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article453.txt,8,5,2,1,1,3,4,10,0,0,0,9,6,1,0,2,0,2,0,0
reuters-topics/grain/article309.txt,14,10,4,6,3,3,2,2,1,0,4,2,3,4,0,1,1,1,2,0
reuters-topics/grain/article484.txt,11,3,3,4,4,2,2,4,0,0,0,3,0,0,0,1,0,1,0,0
reuters-topics/grain/article490.txt,50,15,13,13,8,8,5,3,6,0,1,3,1,3,2,3,4,0,7,1
reuters-topics/grain/article123.txt,22,15,12,8,12,9,7,3,5,1,1,0,5,2,5,3,3,0,1,0
reuters-topics/grain/article137.txt,6,1,1,0,4,3,1,1,4,0,2,1,1,0,2,2,1,2,0,2
reuters-topics/grain/article057.txt,9,2,5,1,4,2,0,2,2,0,0,2,2,0,2,0,0,1,0,4
reuters-topics/grain/article043.txt,2,0,0,0,1,0,0,3,0,0,8,1,0,0,0,4,1,0,0,6
reuters-topics/grain/article094.txt,10,4,11,5,4,2,6,2,2,0,0,0,2,0,1,0,0,0,2,0
reuters-topics/grain/article080.txt,5,1,2,5,2,3,0,1,2,0,1,0,2,0,2,0,4,1,1,1
reuters-topics/grain/article533.txt,13,3,10,8,2,3,1,1,0,0,8,0,0,5,3,0,2,3,1,4
reuters-topics/grain/article255.txt,13,11,4,5,4,8,1,2,3,0,0,0,4,0,1,1,4,1,0,0
reuters-topics/grain/article241.txt,22,15,10,7,8,11,4,3,5,0,0,1,2,2,1,7,10,5,2,0
reuters-topics/grain/article527.txt,10,6,4,1,2,4,2,1,2,0,0,1,1,0,1,0,1,1,0,2
reuters-topics/grain/article269.txt,7,1,3,0,1,2,0,3,2,0,0,2,0,0,1,1,0,0,0,1
reuters-topics/grain/article296.txt,8,5,6,1,3,3,0,4,6,0,7,3,1,0,3,1,0,0,0,0
reuters-topics/grain/article282.txt,3,0,2,2,0,0,1,2,0,0,1,1,1,0,1,0,0,0,0,0
reuters-topics/grain/article294.txt,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article280.txt,21,8,6,6,4,6,0,4,4,0,5,4,1,0,3,2,1,0,0,3
reuters-topics/grain/article519.txt,59,13,17,20,22,18,7,8,9,0,0,0,0,1,2,3,8,12,5,0
reuters-topics/grain/article257.txt,13,5,10,3,8,5,3,3,4,0,0,1,0,2,3,0,0,0,1,4
reuters-topics/grain/article531.txt,7,9,4,7,3,2,1,10,0,0,4,7,0,0,6,0,0,1,0,1
reuters-topics/grain/article525.txt,29,11,21,4,8,10,6,10,10,0,7,7,4,7,3,0,1,3,2,7
reuters-topics/grain/article243.txt,6,3,3,4,0,1,0,1,0,0,1,0,1,2,1,0,0,0,0,2
reuters-topics/grain/article096.txt,7,4,3,2,0,0,2,1,1,0,0,1,1,0,1,0,0,1,1,0
reuters-topics/grain/article082.txt,15,3,6,1,4,3,3,1,0,0,2,0,1,0,0,5,0,1,0,6
reuters-topics/grain/article069.txt,5,2,2,3,2,2,2,0,1,0,2,0,0,0,2,0,2,0,0,8
reuters-topics/grain/article055.txt,10,5,7,0,5,3,0,2,5,0,0,2,0,0,0,0,1,1,0,8
reuters-topics/grain/article041.txt,3,0,0,0,1,0,0,3,0,0,12,1,0,0,0,6,1,0,0,9
reuters-topics/grain/article109.txt,13,7,6,5,8,9,6,4,8,0,0,4,6,3,4,2,0,1,2,0
reuters-topics/grain/article121.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article135.txt,12,3,9,1,3,1,0,1,3,0,0,1,0,0,0,0,1,0,0,5
reuters-topics/grain/article486.txt,19,19,9,5,3,10,5,6,0,0,0,1,5,4,1,2,0,2,2,0
reuters-topics/grain/article492.txt,23,14,14,8,8,14,8,3,6,0,2,0,6,8,2,2,0,3,5,0
reuters-topics/grain/article479.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article323.txt,11,1,7,4,7,7,2,1,2,0,0,0,0,0,0,1,4,1,2,0
reuters-topics/grain/article445.txt,7,4,2,3,1,3,3,7,1,0,0,7,2,1,0,0,0,2,1,0
reuters-topics/grain/article451.txt,11,5,1,2,3,2,5,2,0,0,0,2,1,2,0,1,0,0,0,0
reuters-topics/grain/article337.txt,8,3,18,0,6,1,1,0,8,0,0,0,0,0,1,0,0,0,1,7
reuters-topics/grain/article450.txt,8,4,5,1,1,3,1,2,3,0,0,2,0,0,1,0,2,1,0,2
reuters-topics/grain/article336.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
reuters-topics/grain/article322.txt,11,3,3,2,2,2,0,1,2,0,0,1,0,0,1,0,1,1,0,1
reuters-topics/grain/article444.txt,36,20,18,8,5,14,9,4,10,0,9,2,5,4,1,3,3,3,3,0
reuters-topics/grain/article478.txt,8,2,3,0,5,2,0,5,0,0,3,5,0,0,1,3,2,0,1,3
reuters-topics/grain/article493.txt,2,1,0,0,0,1,1,2,0,0,3,1,0,1,1,0,1,0,0,3
reuters-topics/grain/article487.txt,7,1,6,0,2,1,4,1,0,0,0,1,0,1,1,2,2,0,2,3
reuters-topics/grain/article134.txt,0,2,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article120.txt,11,10,1,6,4,7,2,1,2,0,0,1,0,3,0,2,0,2,0,0
reuters-topics/grain/article108.txt,5,4,1,3,0,0,0,3,1,0,0,2,0,0,1,0,0,0,0,2
reuters-topics/grain/article040.txt,2,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0
reuters-topics/grain/article054.txt,1,0,1,6,1,0,9,1,1,0,6,1,0,0,0,0,0,0,2,6
reuters-topics/grain/article068.txt,2,11,0,3,7,0,0,0,2,0,0,0,1,0,3,13,2,0,0,0
reuters-topics/grain/article083.txt,11,8,6,3,6,5,3,10,2,0,0,8,7,2,1,1,0,3,2,0
reuters-topics/grain/article097.txt,7,5,5,2,1,3,0,3,2,0,0,3,2,0,2,0,2,1,0,3
