,the,to,of,in,and,said,a,s,for,oil,mln,u,on,that,from,at,it,is,by,tonnes
reuters-topics/grain/article160.txt,8,6,3,6,4,7,3,4,4,0,0,0,2,1,0,0,1,1,1,0
reuters-topics/grain/article389.txt,1,0,0,2,0,0,0,2,0,0,8,1,0,0,0,4,1,0,0,6
reuters-topics/grain/article438.txt,2,0,0,0,2,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0
reuters-topics/grain/article410.txt,1,1,2,2,0,2,0,1,0,0,0,0,0,0,3,0,2,0,0,3
reuters-topics/grain/article376.txt,11,2,6,0,1,0,5,1,1,0,0,0,0,1,0,1,1,1,1,0
reuters-topics/grain/article362.txt,13,9,1,0,0,4,2,3,0,0,0,1,0,3,2,0,2,3,0,0
reuters-topics/grain/article404.txt,6,4,7,4,4,3,1,5,1,0,4,4,0,2,0,0,1,3,3,5
reuters-topics/grain/article363.txt,6,2,1,3,1,4,2,9,0,0,0,7,1,3,0,0,2,2,1,0
reuters-topics/grain/article405.txt,3,0,3,2,0,0,0,1,0,0,6,0,0,0,2,4,0,0,0,4
reuters-topics/grain/article411.txt,8,16,7,8,4,4,2,5,1,0,0,5,0,0,2,0,3,1,1,0
reuters-topics/grain/article377.txt,15,16,8,7,3,0,0,0,0,0,9,0,0,0,20,0,0,0,0,15
reuters-topics/grain/article439.txt,15,6,8,7,5,0,2,1,5,0,3,1,4,1,0,0,0,0,2,0
reuters-topics/grain/article388.txt,1,0,0,3,0,0,0,2,0,0,12,1,0,0,0,6,1,2,0,9
reuters-topics/grain/article161.txt,0,1,3,0,1,2,1,0,1,0,0,0,0,0,3,3,1,0,0,6
reuters-topics/grain/article175.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article149.txt,7,5,1,1,1,3,0,3,3,0,0,3,0,0,2,0,0,0,0,4
reuters-topics/grain/article015.txt,3,0,3,6,4,2,0,1,0,0,7,0,1,0,0,0,0,0,1,1
reuters-topics/grain/article001.txt,5,5,2,5,3,3,2,3,0,2,0,0,0,0,4,0,1,0,0,0
reuters-topics/grain/article029.txt,20,6,9,2,1,4,2,1,4,0,2,0,1,1,0,1,1,1,2,2
reuters-topics/grain/article217.txt,9,5,2,0,5,1,2,0,0,0,0,0,1,0,1,2,1,0,0,0
reuters-topics/grain/article571.txt,41,29,15,7,18,6,7,4,4,0,3,2,6,12,0,2,4,4,6,0
reuters-topics/grain/article565.txt,0,0,2,0,0,1,1,3,3,0,0,3,0,0,0,0,0,0,0,1
reuters-topics/grain/article203.txt,6,7,3,1,3,2,0,4,7,3,8,4,0,0,4,0,0,0,0,0
reuters-topics/grain/article559.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,2
reuters-topics/grain/article229.txt,9,1,3,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6
reuters-topics/grain/article573.txt,5,6,1,0,2,2,1,2,2,0,3,0,0,0,0,0,0,0,1,1
reuters-topics/grain/article215.txt,4,2,4,6,4,2,1,0,5,1,2,0,0,0,1,0,2,0,0,2
reuters-topics/grain/article201.txt,4,4,4,0,1,3,3,1,3,0,0,1,1,0,1,0,1,0,0,2
reuters-topics/grain/article567.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article017.txt,2,0,1,4,3,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0
reuters-topics/grain/article003.txt,27,18,8,2,12,11,4,24,4,0,0,22,6,2,4,1,2,4,2,0
reuters-topics/grain/article188.txt,10,6,4,2,1,1,2,0,1,0,0,0,2,0,0,1,0,0,2,0
reuters-topics/grain/article163.txt,3,0,7,1,2,2,2,4,10,0,0,4,1,1,0,13,0,0,0,13
reuters-topics/grain/article177.txt,3,0,0,1,0,1,1,4,4,0,0,3,2,0,0,0,0,0,0,0
reuters-topics/grain/article349.txt,3,3,2,0,1,0,5,1,1,0,0,0,0,0,0,0,0,1,0,0
reuters-topics/grain/article407.txt,24,36,15,24,21,8,6,4,3,0,12,0,0,1,7,1,4,2,2,11
reuters-topics/grain/article361.txt,9,8,3,1,3,2,3,6,2,0,0,6,0,2,0,0,2,3,0,0
reuters-topics/grain/article375.txt,3,1,3,1,0,0,0,0,1,0,6,0,0,0,0,3,0,0,1,0
reuters-topics/grain/article413.txt,4,1,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
reuters-topics/grain/article374.txt,6,1,10,2,1,2,0,0,0,0,1,0,0,0,1,0,3,0,0,9
reuters-topics/grain/article412.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article406.txt,22,9,6,9,3,8,4,4,3,0,3,2,0,1,1,1,0,4,0,0
reuters-topics/grain/article360.txt,7,2,5,3,1,5,4,7,0,0,0,7,1,4,0,0,0,3,2,0
reuters-topics/grain/article348.txt,5,3,3,1,4,2,0,2,1,0,1,0,0,0,0,0,1,1,2,0
reuters-topics/grain/article176.txt,5,1,4,3,1,2,0,1,1,0,0,1,1,2,1,1,2,1,0,0
reuters-topics/grain/article162.txt,17,6,3,8,3,7,2,5,2,0,5,1,2,0,2,2,3,3,0,5
reuters-topics/grain/article189.txt,12,1,9,7,3,7,4,2,1,0,0,1,1,4,4,1,0,0,1,0
reuters-topics/grain/article002.txt,3,2,3,0,1,2,1,2,2,0,0,2,0,0,1,1,0,0,0,1
reuters-topics/grain/article016.txt,9,10,5,10,6,4,3,3,1,0,8,2,1,0,0,3,0,0,3,6
reuters-topics/grain/article200.txt,9,4,5,3,5,6,4,2,4,0,0,1,0,1,1,1,1,0,1,0
reuters-topics/grain/article566.txt,1,0,1,0,1,1,0,3,3,0,0,3,0,0,0,0,0,0,0,1
reuters-topics/grain/article572.txt,2,0,1,1,1,0,1,1,2,0,0,1,0,0,1,0,0,2,0,0
reuters-topics/grain/article214.txt,13,6,11,4,10,3,1,0,15,0,0,1,0,0,2,0,0,3,1,19
reuters-topics/grain/article228.txt,6,5,1,1,2,3,1,4,1,0,1,3,2,1,0,0,0,0,2,0
reuters-topics/grain/article210.txt,4,3,3,0,0,1,1,1,0,0,0,2,0,0,0,2,0,0,0,2
reuters-topics/grain/article576.txt,25,13,6,16,10,7,7,2,5,0,17,2,0,0,2,6,4,7,4,7
reuters-topics/grain/article562.txt,10,3,2,2,1,2,0,2,3,0,2,2,0,0,0,0,0,0,1,0
reuters-topics/grain/article204.txt,5,2,4,1,3,3,1,2,3,0,0,2,0,1,0,0,0,1,0,3
reuters-topics/grain/article238.txt,45,20,16,1,8,3,14,11,4,0,0,10,7,1,3,3,2,4,8,2
reuters-topics/grain/article012.txt,11,4,2,0,6,1,1,2,1,0,0,1,3,1,0,0,2,3,4,0
reuters-topics/grain/article006.txt,4,0,1,1,6,4,0,2,7,0,0,2,1,0,0,0,0,1,1,7
reuters-topics/grain/article199.txt,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
reuters-topics/grain/article166.txt,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article172.txt,4,3,0,1,5,0,4,2,0,0,12,1,0,0,4,0,0,0,0,0
reuters-topics/grain/article364.txt,21,2,10,4,5,2,3,1,2,0,0,0,2,1,3,1,2,3,3,0
reuters-topics/grain/article402.txt,9,4,4,1,3,1,0,1,4,0,0,1,0,0,1,0,0,1,0,6
reuters-topics/grain/article416.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2
reuters-topics/grain/article370.txt,2,2,3,3,3,7,5,6,2,0,0,0,0,3,1,0,3,2,3,1
reuters-topics/grain/article358.txt,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article359.txt,8,2,5,2,1,1,4,4,1,0,0,4,1,1,0,0,1,1,1,0
reuters-topics/grain/article417.txt,24,17,10,10,4,7,8,8,2,0,0,0,0,5,2,0,2,2,2,1
reuters-topics/grain/article371.txt,8,6,6,4,13,4,3,0,1,4,5,0,1,0,2,2,2,0,2,2
reuters-topics/grain/article365.txt,10,3,3,3,2,3,3,7,2,0,0,5,0,4,2,1,1,3,2,0
reuters-topics/grain/article403.txt,0,2,2,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article173.txt,12,2,5,4,3,6,3,3,0,0,0,1,1,0,2,0,2,1,0,0
reuters-topics/grain/article167.txt,21,12,11,7,7,2,12,11,1,0,0,9,2,2,0,3,3,4,3,0
reuters-topics/grain/article198.txt,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
reuters-topics/grain/article007.txt,16,5,16,6,3,5,2,4,3,0,4,0,0,4,3,0,1,4,0,4
reuters-topics/grain/article013.txt,10,1,5,2,1,1,2,2,3,1,0,2,1,0,0,0,0,1,1,3
reuters-topics/grain/article239.txt,8,0,1,3,0,1,2,2,0,0,0,2,0,0,2,0,0,0,0,0
reuters-topics/grain/article563.txt,27,24,17,24,5,17,8,16,3,0,15,8,2,4,4,2,1,4,2,0
reuters-topics/grain/article205.txt,1,0,1,0,0,2,0,2,3,0,0,2,0,0,1,0,0,0,0,1
reuters-topics/grain/article211.txt,9,0,9,2,1,4,1,1,2,0,0,0,1,0,0,1,1,1,0,0
reuters-topics/grain/article577.txt,30,20,10,22,11,1,6,3,8,0,0,3,3,2,3,1,1,0,6,0
reuters-topics/grain/article207.txt,56,28,26,22,18,12,11,3,12,1,2,0,3,6,1,4,9,6,4,0
reuters-topics/grain/article561.txt,6,2,2,0,2,2,0,3,0,0,1,3,0,0,1,1,2,0,1,1
reuters-topics/grain/article575.txt,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article213.txt,2,1,0,0,2,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article549.txt,8,5,6,5,6,4,1,1,2,0,0,1,0,0,0,1,0,0,1,3
reuters-topics/grain/article005.txt,33,33,16,26,19,2,3,3,8,0,34,0,11,0,1,4,1,6,2,6
reuters-topics/grain/article011.txt,8,2,6,3,3,3,2,7,2,0,5,5,0,1,3,1,1,0,0,5
reuters-topics/grain/article039.txt,3,0,1,5,1,1,0,1,0,0,22,1,0,0,0,11,2,2,0,21
reuters-topics/grain/article171.txt,35,12,15,10,10,11,3,4,7,0,12,0,2,0,2,3,3,1,4,2
reuters-topics/grain/article165.txt,2,1,4,0,0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,2
reuters-topics/grain/article159.txt,9,5,3,1,1,3,0,1,2,0,0,1,3,0,1,0,0,1,0,2
reuters-topics/grain/article398.txt,25,16,6,3,2,9,5,4,5,0,0,2,2,4,0,1,3,1,4,0
reuters-topics/grain/article373.txt,35,13,10,1,9,5,7,1,2,0,0,1,3,0,0,6,0,3,1,0
reuters-topics/grain/article415.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
reuters-topics/grain/article401.txt,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article367.txt,17,21,7,3,5,8,12,2,6,0,0,1,0,3,0,0,2,7,2,0
reuters-topics/grain/article429.txt,3,3,2,2,0,0,2,0,1,0,2,0,0,0,1,1,1,0,0,0
reuters-topics/grain/article428.txt,5,2,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3
reuters-topics/grain/article400.txt,8,2,4,0,2,3,2,2,1,0,0,1,1,0,0,1,0,0,1,0
reuters-topics/grain/article366.txt,7,5,1,0,1,5,3,3,0,0,0,2,3,0,1,2,1,0,0,0
reuters-topics/grain/article372.txt,3,1,7,2,5,1,1,1,0,0,0,0,1,0,1,0,0,0,0,6
reuters-topics/grain/article414.txt,11,0,2,4,1,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0
reuters-topics/grain/article399.txt,8,3,5,1,3,2,7,1,0,1,0,1,0,0,1,1,0,2,2,0
reuters-topics/grain/article158.txt,11,6,5,8,8,4,2,2,5,2,0,0,2,2,2,1,1,2,0,0
reuters-topics/grain/article164.txt,18,9,8,5,4,8,6,4,2,0,0,1,1,2,3,0,1,3,1,0
reuters-topics/grain/article170.txt,9,8,7,7,4,4,1,3,4,0,2,2,0,1,7,1,0,3,1,4
reuters-topics/grain/article038.txt,1,0,1,2,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1
reuters-topics/grain/article010.txt,3,2,1,0,2,2,0,3,0,0,1,3,0,0,1,1,2,0,1,1
reuters-topics/grain/article004.txt,15,7,7,4,1,2,6,2,1,0,0,0,1,1,1,1,1,2,3,0
reuters-topics/grain/article548.txt,14,12,4,3,0,7,2,5,1,0,1,3,1,4,0,1,7,2,1,1
reuters-topics/grain/article574.txt,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article212.txt,2,0,1,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0
reuters-topics/grain/article206.txt,23,12,11,6,13,14,7,6,7,0,4,4,3,7,3,1,1,1,1,0
reuters-topics/grain/article560.txt,11,4,6,1,2,2,0,3,3,0,0,3,0,0,0,0,1,1,0,5
reuters-topics/crude/article545.txt,24,5,6,7,5,4,1,1,0,1,0,1,0,0,0,0,2,0,0,0
reuters-topics/crude/article223.txt,29,15,13,19,18,15,21,11,5,8,10,3,4,2,7,0,8,2,1,0
reuters-topics/crude/article237.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
reuters-topics/crude/article551.txt,3,6,2,1,4,5,5,0,1,4,0,0,0,0,0,0,3,2,1,0
reuters-topics/crude/article009.txt,7,5,0,5,1,5,3,2,0,2,18,2,0,0,10,1,1,0,1,0
reuters-topics/crude/article021.txt,16,8,10,7,3,7,4,2,1,8,1,0,1,2,3,1,9,1,2,0
reuters-topics/crude/article035.txt,16,5,0,2,4,2,6,5,1,3,0,0,2,3,0,0,2,2,3,0
reuters-topics/crude/article196.txt,6,3,2,7,1,2,1,1,0,4,2,0,1,0,3,0,0,0,0,0
reuters-topics/crude/article182.txt,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article169.txt,12,5,4,2,1,3,3,1,1,1,0,5,4,1,1,0,0,0,0,0
reuters-topics/crude/article155.txt,4,3,1,0,1,2,2,2,2,3,0,1,1,0,0,0,1,0,1,0
reuters-topics/crude/article141.txt,5,3,2,0,2,3,3,0,2,3,0,0,1,0,0,1,2,0,1,0
reuters-topics/crude/article394.txt,4,1,0,0,0,1,1,1,2,1,0,0,1,0,0,0,2,0,0,0
reuters-topics/crude/article380.txt,18,6,13,9,6,6,8,6,6,4,1,0,2,2,2,1,1,1,2,0
reuters-topics/crude/article419.txt,28,8,14,15,7,5,14,6,1,5,0,0,5,3,2,2,2,2,3,0
reuters-topics/crude/article431.txt,15,7,8,12,11,6,5,7,4,8,4,1,1,0,2,1,2,1,0,2
reuters-topics/crude/article357.txt,13,16,7,6,7,8,3,6,8,8,3,0,3,5,0,4,1,1,1,0
reuters-topics/crude/article343.txt,6,7,0,3,3,7,3,2,2,6,0,2,6,3,2,1,0,4,0,0
reuters-topics/crude/article425.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
reuters-topics/crude/article342.txt,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
reuters-topics/crude/article424.txt,16,0,3,15,8,7,14,1,2,3,0,1,0,0,4,4,0,0,2,0
reuters-topics/crude/article430.txt,10,5,3,2,1,2,4,1,0,5,2,0,2,0,3,0,2,0,2,0
reuters-topics/crude/article356.txt,6,4,7,4,5,5,7,5,1,7,0,0,0,0,2,0,2,2,0,0
reuters-topics/crude/article418.txt,21,8,5,12,13,7,4,9,1,2,1,2,1,6,3,0,2,1,1,0
reuters-topics/crude/article381.txt,3,4,4,0,8,3,0,1,0,1,0,1,0,0,0,0,2,0,0,0
reuters-topics/crude/article395.txt,4,7,2,2,2,1,2,1,0,4,0,1,0,0,0,1,0,0,2,0
reuters-topics/crude/article140.txt,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article154.txt,5,1,1,0,1,2,2,2,2,2,0,2,0,0,0,0,1,0,1,0
reuters-topics/crude/article168.txt,8,1,1,5,6,5,3,8,2,3,0,6,6,1,1,2,2,0,0,0
reuters-topics/crude/article183.txt,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article197.txt,19,14,16,13,9,12,11,6,6,8,0,2,1,4,3,2,2,4,4,0
reuters-topics/crude/article034.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article020.txt,3,3,2,1,5,1,1,2,1,1,1,0,0,0,0,0,1,0,0,0
reuters-topics/crude/article008.txt,7,5,2,6,3,4,0,0,0,2,8,0,0,0,0,1,1,0,0,0
reuters-topics/crude/article236.txt,5,0,2,1,0,4,3,1,3,4,0,1,2,2,0,2,0,0,0,0
reuters-topics/crude/article550.txt,18,13,2,13,12,9,2,5,3,6,9,0,6,2,3,0,4,4,3,0
reuters-topics/crude/article544.txt,2,2,3,2,3,4,7,4,2,3,0,2,2,0,0,0,0,1,2,0
reuters-topics/crude/article222.txt,21,10,8,10,5,9,3,7,4,11,3,7,2,1,1,2,2,2,1,0
reuters-topics/crude/article208.txt,25,7,5,11,2,6,6,3,3,3,0,0,5,4,1,1,6,1,2,0
reuters-topics/crude/article552.txt,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article234.txt,11,13,13,7,5,6,9,7,1,8,0,0,6,3,2,1,3,2,2,0
reuters-topics/crude/article220.txt,3,1,0,0,0,3,0,1,1,0,0,0,0,0,0,2,0,1,1,0
reuters-topics/crude/article546.txt,19,11,4,6,5,8,3,4,9,3,10,3,1,1,0,1,1,2,3,0
reuters-topics/crude/article036.txt,4,5,9,3,1,3,5,1,0,0,0,1,1,0,0,0,0,0,2,0
reuters-topics/crude/article022.txt,25,13,9,9,11,17,7,14,7,12,0,3,1,7,1,3,8,0,2,0
reuters-topics/crude/article181.txt,1,0,1,2,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0
reuters-topics/crude/article195.txt,21,8,13,2,8,5,8,3,4,6,0,1,2,0,1,2,0,2,1,0
reuters-topics/crude/article142.txt,5,2,1,0,2,2,3,1,2,3,0,1,1,0,0,0,2,0,1,0
reuters-topics/crude/article156.txt,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article383.txt,10,4,7,4,2,7,3,5,2,6,2,2,2,3,0,0,7,1,1,0
reuters-topics/crude/article397.txt,2,0,7,2,4,5,0,0,1,3,8,0,0,1,3,1,1,1,0,0
reuters-topics/crude/article368.txt,10,3,0,5,1,6,4,3,2,3,14,2,0,0,8,1,1,0,1,0
reuters-topics/crude/article426.txt,16,9,8,5,9,4,9,6,2,3,3,1,1,0,2,0,1,1,2,0
reuters-topics/crude/article340.txt,20,8,6,8,3,7,3,2,2,5,5,0,0,1,2,2,2,3,4,0
reuters-topics/crude/article354.txt,29,13,16,17,14,12,10,7,5,10,0,4,3,0,1,6,2,14,2,0
reuters-topics/crude/article432.txt,15,6,7,3,3,2,6,1,3,2,0,0,3,0,1,2,1,1,7,0
reuters-topics/crude/article355.txt,38,29,20,15,10,13,8,6,4,6,2,0,3,10,3,2,1,6,1,0
reuters-topics/crude/article433.txt,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article427.txt,8,11,8,3,3,4,3,0,2,4,4,0,0,2,0,0,2,2,1,0
reuters-topics/crude/article341.txt,3,2,2,0,2,1,3,0,1,1,0,0,0,0,0,0,2,1,0,0
reuters-topics/crude/article369.txt,25,14,21,13,13,5,4,5,1,6,11,3,2,1,15,4,3,1,0,0
reuters-topics/crude/article396.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/crude/article382.txt,30,17,10,7,9,8,7,8,1,10,0,0,5,8,1,2,4,2,0,0
reuters-topics/crude/article157.txt,7,1,3,1,4,3,2,4,3,1,0,3,1,4,0,0,2,1,1,0
reuters-topics/crude/article143.txt,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article194.txt,11,13,5,13,7,4,4,3,1,6,5,0,0,0,14,3,2,0,0,0
reuters-topics/crude/article180.txt,12,4,4,6,5,5,6,6,1,3,0,4,6,1,1,3,0,0,1,0
reuters-topics/crude/article023.txt,15,9,11,7,4,5,4,2,1,8,1,0,1,2,3,1,9,1,2,0
reuters-topics/crude/article037.txt,5,4,2,4,4,2,1,2,0,0,0,2,0,0,0,1,0,0,4,0
reuters-topics/crude/article221.txt,15,8,16,6,5,5,11,4,2,12,1,2,1,3,0,2,0,2,4,0
reuters-topics/crude/article547.txt,6,5,4,2,1,2,2,0,0,2,1,0,2,0,2,0,1,0,0,0
reuters-topics/crude/article553.txt,15,5,7,2,4,5,4,2,3,1,0,0,0,1,1,1,1,1,0,0
reuters-topics/crude/article235.txt,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
reuters-topics/crude/article209.txt,17,8,6,9,2,5,5,1,0,5,0,0,0,2,7,0,3,0,2,0
reuters-topics/crude/article231.txt,13,8,2,3,6,11,4,3,9,2,11,1,0,0,1,0,0,3,2,0
reuters-topics/crude/article557.txt,20,5,11,11,2,6,2,1,1,6,1,0,2,0,0,4,0,2,2,0
reuters-topics/crude/article543.txt,39,28,21,22,10,13,12,4,4,10,15,6,9,2,10,2,2,3,4,1
reuters-topics/crude/article225.txt,18,12,9,16,18,8,4,3,4,8,9,1,1,6,16,0,6,0,0,0
reuters-topics/crude/article219.txt,9,6,7,4,1,4,7,2,2,4,1,0,0,0,1,0,1,2,2,0
reuters-topics/crude/article033.txt,19,8,6,5,7,7,5,3,6,2,2,0,3,6,1,1,0,4,4,0
reuters-topics/crude/article027.txt,17,10,7,7,3,9,3,12,7,5,0,3,7,6,0,0,5,8,0,0
reuters-topics/crude/article184.txt,5,1,1,1,2,6,7,10,0,3,0,9,8,4,1,0,2,0,1,0
reuters-topics/crude/article190.txt,24,11,15,4,10,13,6,11,5,8,0,1,1,6,3,1,2,9,2,0
reuters-topics/crude/article147.txt,15,3,2,7,3,1,8,9,2,1,0,7,4,4,1,0,1,0,0,0
reuters-topics/crude/article153.txt,6,4,2,3,0,2,3,2,1,1,0,1,6,0,1,0,1,0,1,0
reuters-topics/crude/article386.txt,11,10,3,6,4,8,9,3,8,2,0,0,1,3,1,9,1,11,1,0
reuters-topics/crude/article392.txt,9,2,4,4,5,1,3,2,2,2,0,1,0,1,3,0,0,0,2,0
reuters-topics/crude/article345.txt,12,9,2,9,1,3,1,2,0,9,0,2,0,2,1,0,0,2,0,0
reuters-topics/crude/article423.txt,7,0,1,9,1,3,5,2,1,2,0,2,0,0,1,0,0,0,2,0
reuters-topics/crude/article437.txt,9,13,5,1,8,7,11,1,4,3,0,0,4,3,0,3,4,1,3,0
reuters-topics/crude/article351.txt,7,5,2,1,3,2,2,2,0,5,0,0,0,0,0,1,1,1,3,0
reuters-topics/crude/article379.txt,23,13,7,8,5,10,5,8,0,11,5,1,1,0,4,3,0,2,2,0
reuters-topics/crude/article378.txt,21,21,10,14,14,15,5,3,10,7,5,3,2,5,6,3,0,5,4,0
reuters-topics/crude/article436.txt,12,7,13,8,9,8,5,1,4,5,7,0,3,5,1,4,3,1,0,0
reuters-topics/crude/article350.txt,10,6,6,3,3,4,1,2,3,5,0,0,2,1,0,0,0,0,1,0
reuters-topics/crude/article344.txt,5,3,3,0,1,2,5,1,2,2,0,1,0,0,0,1,1,1,1,0
reuters-topics/crude/article422.txt,13,10,4,0,6,2,4,4,5,6,3,4,1,1,2,2,2,1,0,0
reuters-topics/crude/article393.txt,4,1,1,0,2,1,2,2,2,3,0,0,1,0,0,0,2,0,1,0
reuters-topics/crude/article387.txt,10,5,8,3,5,3,5,2,0,6,1,0,0,2,1,0,1,0,0,0
reuters-topics/crude/article152.txt,11,2,3,2,7,1,8,3,4,2,0,3,3,3,1,0,1,0,0,0
reuters-topics/crude/article146.txt,8,1,4,7,3,3,3,2,1,4,0,1,7,1,3,1,1,0,0,0
reuters-topics/crude/article191.txt,42,20,28,17,9,20,9,18,8,18,2,11,3,11,1,4,8,8,3,0
reuters-topics/crude/article185.txt,14,5,6,4,2,5,6,1,3,3,0,0,1,0,2,2,0,3,2,0
reuters-topics/crude/article026.txt,6,1,1,2,2,3,2,1,2,2,1,1,0,0,0,1,2,1,0,0
reuters-topics/crude/article032.txt,11,2,9,5,4,2,4,2,3,7,3,0,1,0,3,3,0,1,0,3
reuters-topics/crude/article218.txt,17,11,15,2,4,10,5,7,1,5,7,5,1,4,0,5,1,1,1,0
reuters-topics/crude/article542.txt,30,7,9,6,12,4,3,2,4,8,5,1,3,7,2,1,0,0,3,0
reuters-topics/crude/article224.txt,9,7,6,9,10,4,8,2,3,3,4,0,1,0,1,0,2,0,1,0
reuters-topics/crude/article230.txt,14,5,6,1,3,3,1,2,0,3,0,2,0,0,3,1,2,0,1,0
reuters-topics/crude/article556.txt,22,4,7,6,7,8,5,1,2,2,1,0,1,2,0,2,1,1,1,0
reuters-topics/crude/article226.txt,15,13,6,13,4,6,4,4,2,2,5,0,3,4,9,1,0,0,2,0
reuters-topics/crude/article540.txt,13,7,5,1,4,7,6,7,4,9,0,5,3,4,2,1,1,2,2,0
reuters-topics/crude/article554.txt,14,4,9,2,4,4,5,1,4,5,0,1,1,1,0,1,2,0,0,0
reuters-topics/crude/article232.txt,5,2,1,1,3,2,3,2,0,2,0,0,0,0,0,2,1,0,1,0
